Team,Team Name,Year,Average Age,Total Payroll Allocations,Active 26-Man,Injured,Retained,Buried,Wins,Losses,Postseason,Payroll,Winning_Percentage,Playoffs,WS_Winner,Talent_OPS_Plus
HOU,Houston Astros,2023,29.6,"$237,107,748","$211,270,410","$16,713,200","$2,830,000","$2,694,138",90,72,Division Winner,237107748.0,0.5555555555555556,1,0,111.0
CHW,Chicago White Sox,2023,27.9,"$162,863,836","$85,292,616","$37,717,329","$38,812,106","$1,041,785",61,101,No Playoffs,162863836.0,0.3765432098765432,0,0,84.0
PHI,Philadelphia Phillies,2023,28.4,"$245,419,295","$218,609,553","$12,530,327","$3,345,770","$10,933,645",90,72,Wildcard,245419295.0,0.5555555555555556,1,0,107.0
TEX,Texas Rangers,2023,29.2,"$251,332,754","$148,828,188","$96,208,979","$4,993,881","$1,301,706",90,72,No Playoffs,251332754.0,0.5555555555555556,0,0,116.0
COL,Colorado Rockies,2023,28.1,"$171,026,607","$75,181,741","$46,742,764","$47,613,189","$1,488,913",59,103,No Playoffs,171026607.0,0.36419753086419754,0,0,85.0
SD,San Diego Padres,2023,29.2,"$253,450,531","$163,098,555","$71,689,912","$16,420,993","$716,071",82,80,No Playoffs,253450531.0,0.5061728395061729,0,0,104.0
LAA,Los Angeles Angels,2023,26.8,"$227,884,276","$43,769,159","$147,537,321","$28,243,281","$1,334,515",73,89,No Playoffs,227884276.0,0.4506172839506173,0,0,101.0
NYY,New York Yankees,2023,28.5,"$278,651,150","$187,316,625","$50,681,231","$35,880,817","$1,452,477",82,80,No Playoffs,278651150.0,0.5061728395061729,0,0,91.0
NYM,New York Mets,2023,28.4,"$341,673,777","$104,157,606","$76,849,257","$158,207,683","$2,459,231",75,87,No Playoffs,341673777.0,0.46296296296296297,0,0,99.0
BAL,Baltimore Orioles,2022,27.1,"$44,888,388","$25,488,146","$2,759,974","$13,258,460","$3,381,808",83,79,No Playoffs,44888388.0,0.5123456790123457,0,0,99.0
CLE,Cleveland Guardians,2022,25.6,"$66,477,492","$56,507,878","$702,900","$4,619,812","$4,646,902",92,70,Division Winner,66477492.0,0.5679012345679012,1,0,102.0
OAK,Oakland Athletics,2022,27.1,"$48,443,900","$15,196,960","$6,642,582","$22,966,027","$3,265,269",60,102,No Playoffs,48443900.0,0.37037037037037035,0,0,84.0
PIT,Pittsburgh Pirates,2022,26.0,"$56,184,032","$30,472,503","$8,449,026","$13,072,838","$4,189,665",62,100,No Playoffs,56184032.0,0.38271604938271603,0,0,85.0
TB,Tampa Bay Rays,2022,27.9,"$97,167,073","$50,869,016","$33,372,433","$11,455,026","$1,470,598",86,76,Wildcard,97167073.0,0.5308641975308642,1,0,99.0
ARI,Arizona Diamondbacks,2022,27.8,"$85,293,905","$53,176,803","$19,224,958","$9,707,562","$2,484,582",74,88,No Playoffs,85293905.0,0.4567901234567901,0,0,95.0
SEA,Seattle Mariners,2022,27.6,"$110,826,407","$77,183,408","$9,896,644","$13,680,533","$2,315,822",90,72,Wildcard,110826407.0,0.5555555555555556,1,0,106.0
MIA,Miami Marlins,2022,27.6,"$88,454,422","$50,291,980","$20,999,362","$10,674,607","$1,938,473",69,93,No Playoffs,88454422.0,0.42592592592592593,0,0,85.0
KC,Kansas City Royals,2022,26.4,"$92,613,711","$62,728,828","$6,413,200","$21,516,010","$1,955,673",65,97,No Playoffs,92613711.0,0.4012345679012346,0,0,93.0
MIL,Milwaukee Brewers,2022,28.5,"$130,769,325","$93,743,089","$5,763,506","$26,548,013","$4,714,717",86,76,No Playoffs,130769325.0,0.5308641975308642,0,0,103.0
STL,St. Louis Cardinals,2022,28.8,"$155,378,325","$134,723,541","$8,750,000","$9,569,813","$2,334,971",93,69,Division Winner,155378325.0,0.5740740740740741,1,0,112.0
HOU,Houston Astros,2022,29.0,"$183,791,796","$142,736,145","$21,550,000","$14,691,453","$2,135,613",106,56,Division Winner,183791796.0,0.654320987654321,1,0,111.0
ATL,Atlanta Braves,2022,29.0,"$177,138,888","$143,633,732","$20,918,726","$10,710,954","$1,875,476",101,61,Division Winner,177138888.0,0.6234567901234568,1,0,109.0
CIN,Cincinnati Reds,2022,27.9,"$115,417,321","$22,546,012","$61,180,258","$30,148,483","$1,542,568",62,100,No Playoffs,115417321.0,0.38271604938271603,0,0,85.0
TOR,Toronto Blue Jays,2022,28.5,"$177,001,966","$141,662,800","$25,698,159","$7,955,708","$1,685,299",92,70,Wildcard,177001966.0,0.5679012345679012,1,0,117.0
MIN,Minnesota Twins,2022,27.0,"$150,363,491","$77,058,186","$53,517,506","$18,666,930","$1,120,869",78,84,No Playoffs,150363491.0,0.48148148148148145,0,0,105.0
SF,San Francisco Giants,2022,28.3,"$161,717,317","$43,246,200","$90,082,706","$19,651,602","$2,736,809",81,81,No Playoffs,161717317.0,0.5,0,0,100.0
CHC,Chicago Cubs,2022,27.9,"$150,580,017","$83,228,504","$44,219,852","$20,225,459","$2,906,202",74,88,No Playoffs,150580017.0,0.4567901234567901,0,0,94.0
DET,Detroit Tigers,2022,27.5,"$135,112,588","$105,762,860","$13,017,207","$15,133,063","$1,199,458",66,96,No Playoffs,135112588.0,0.4074074074074074,0,0,82.0
COL,Colorado Rockies,2022,27.7,"$140,012,218","$66,960,029","$64,172,808","$7,833,905","$1,045,476",68,94,No Playoffs,140012218.0,0.41975308641975306,0,0,91.0
TEX,Texas Rangers,2022,27.2,"$150,037,446","$100,539,086","$13,330,822","$30,024,329","$6,143,209",68,94,No Playoffs,150037446.0,0.41975308641975306,0,0,96.0
WSH,Washington Nationals,2022,28.8,"$126,672,438","$58,988,509","$40,679,307","$25,629,924","$1,374,698",55,107,No Playoffs,126672438.0,0.3395061728395062,0,0,98.0
LAA,Los Angeles Angels,2022,27.7,"$177,727,811","$118,104,253","$6,978,028","$49,768,044","$2,877,486",73,89,No Playoffs,177727811.0,0.4506172839506173,0,0,93.0
LAD,Los Angeles Dodgers,2022,29.5,"$270,381,426","$231,003,922","$28,920,266","$5,332,866","$1,256,241",111,51,Division Winner,270381426.0,0.6851851851851852,1,0,115.0
CHW,Chicago White Sox,2022,29.6,"$203,205,326","$154,697,729","$20,008,123","$25,306,501","$3,192,973",81,81,No Playoffs,203205326.0,0.5,0,0,97.0
SD,San Diego Padres,2022,29.2,"$224,511,694","$173,934,032","$10,925,000","$34,528,348","$921,017",89,73,Wildcard,224511694.0,0.5493827160493827,1,0,102.0
NYY,New York Yankees,2022,29.6,"$252,957,200","$214,676,803","$25,203,665","$12,115,094","$961,638",99,63,Division Winner,252957200.0,0.6111111111111112,1,0,112.0
NYM,New York Mets,2022,30.1,"$264,342,506","$222,412,889","$4,155,954","$28,130,999","$992,664",101,61,Wildcard,264342506.0,0.6234567901234568,1,0,113.0
BOS,Boston Red Sox,2022,28.8,"$211,812,131","$109,769,156","$50,192,677","$48,696,520","$3,153,778",78,84,No Playoffs,211812131.0,0.48148148148148145,0,0,102.0
PHI,Philadelphia Phillies,2022,28.3,"$244,484,097","$158,569,333","$11,897,332","$30,945,214","$9,883,756",87,75,Wildcard,244484097.0,0.5370370370370371,1,0,108.0
CLE,Cleveland Guardians,2021,26.6,"$50,670,534","$35,682,311","$1,367,760","$11,873,544","$1,470,889",80,82,No Playoffs,50670534.0,0.49382716049382713,0,0,94.0
TB,Tampa Bay Rays,2021,28.1,"$70,104,552","$44,288,651","$18,352,159","$6,218,025","$1,245,717",100,62,Division Winner,70104552.0,0.6172839506172839,1,0,110.0
BAL,Baltimore Orioles,2021,26.8,"$42,421,870","$13,838,690","$7,682,535","$19,045,619","$1,855,026",52,110,No Playoffs,42421870.0,0.32098765432098764,0,0,92.0
MIA,Miami Marlins,2021,27.1,"$58,088,180","$16,304,223","$15,489,077","$23,940,904","$2,353,976",67,95,No Playoffs,58088180.0,0.41358024691358025,0,0,81.0
PIT,Pittsburgh Pirates,2021,26.8,"$54,356,609","$17,797,841","$7,847,255","$19,989,602","$971,911",61,101,No Playoffs,54356609.0,0.3765432098765432,0,0,82.0
SEA,Seattle Mariners,2021,27.4,"$83,822,113","$57,010,274","$16,037,933","$8,004,079","$2,199,327",90,72,No Playoffs,83822113.0,0.5555555555555556,0,0,92.0
OAK,Oakland Athletics,2021,30.0,"$89,767,668","$51,210,210","$34,397,095","$2,500,111","$1,079,752",86,76,No Playoffs,89767668.0,0.5308641975308642,0,0,102.0
MIL,Milwaukee Brewers,2021,28.9,"$99,377,415","$79,937,621","$3,109,474","$10,266,654","$6,217,716",95,67,Division Winner,99377415.0,0.5864197530864198,1,0,92.0
DET,Detroit Tigers,2021,27.5,"$83,698,945","$61,408,153","$13,503,703","$8,352,752","$434,337",77,85,No Playoffs,83698945.0,0.47530864197530864,0,0,96.0
KC,Kansas City Royals,2021,27.4,"$91,595,545","$52,514,932","$15,758,956","$21,740,784","$1,580,873",74,88,No Playoffs,91595545.0,0.4567901234567901,0,0,90.0
CHW,Chicago White Sox,2021,28.0,"$140,406,825","$125,829,369","$3,193,240","$10,099,143","$1,285,073",93,69,Division Winner,140406825.0,0.5740740740740741,1,0,106.0
CIN,Cincinnati Reds,2021,28.0,"$126,587,447","$85,325,437","$35,531,500","$4,226,409","$1,504,101",83,79,No Playoffs,126587447.0,0.5123456790123457,0,0,95.0
COL,Colorado Rockies,2021,27.7,"$116,208,966","$79,695,422","$5,931,272","$19,571,956","$3,010,316",74,87,No Playoffs,116208966.0,0.45962732919254656,0,0,86.0
TEX,Texas Rangers,2021,27.0,"$95,788,819","$24,843,032","$7,899,375","$58,916,700","$4,129,712",60,102,No Playoffs,95788819.0,0.37037037037037035,0,0,83.0
SF,San Francisco Giants,2021,29.6,"$171,191,545","$134,386,796","$19,766,740","$12,958,219","$4,079,790",107,55,Division Winner,171191545.0,0.6604938271604939,1,0,107.0
TOR,Toronto Blue Jays,2021,28.2,"$150,140,253","$109,902,749","$8,853,529","$28,315,121","$3,068,854",91,71,No Playoffs,150140253.0,0.5617283950617284,0,0,113.0
MIN,Minnesota Twins,2021,28.5,"$121,417,939","$84,942,828","$13,198,044","$19,934,219","$3,342,848",73,89,No Playoffs,121417939.0,0.4506172839506173,0,0,103.0
STL,St. Louis Cardinals,2021,29.5,"$151,469,994","$116,018,560","$14,512,682","$19,759,129","$1,179,623",90,72,Wildcard,151469994.0,0.5555555555555556,1,0,99.0
ATL,Atlanta Braves,2021,28.2,"$151,393,755","$115,354,620","$3,301,950","$17,735,468","$1,596,717",88,73,Division Winner,151393755.0,0.546583850931677,1,0,98.0
ARI,Arizona Diamondbacks,2021,27.5,"$91,632,929","$54,229,878","$8,694,478","$25,868,212","$2,840,361",52,110,No Playoffs,91632929.0,0.32098765432098764,0,0,87.0
CHC,Chicago Cubs,2021,28.0,"$144,037,170","$33,340,389","$38,534,396","$71,494,409","$667,976",71,91,No Playoffs,144037170.0,0.4382716049382716,0,0,93.0
BOS,Boston Red Sox,2021,29.1,"$186,718,068","$141,452,731","$2,832,729","$41,374,493","$1,058,115",92,70,Wildcard,186718068.0,0.5679012345679012,1,0,106.0
HOU,Houston Astros,2021,28.7,"$194,222,042","$146,877,726","$39,870,546","$4,134,205","$3,339,565",95,67,Division Winner,194222042.0,0.5864197530864198,1,0,113.0
NYY,New York Yankees,2021,28.9,"$203,311,013","$141,518,753","$48,217,362","$12,129,712","$1,445,186",92,70,Wildcard,203311013.0,0.5679012345679012,1,0,100.0
WSH,Washington Nationals,2021,28.4,"$144,415,187","$50,076,145","$34,877,122","$57,061,332","$2,400,588",65,97,No Playoffs,144415187.0,0.4012345679012346,0,0,107.0
SD,San Diego Padres,2021,29.1,"$179,767,346","$125,977,584","$49,745,500","$2,549,590","$1,494,672",79,83,No Playoffs,179767346.0,0.4876543209876543,0,0,101.0
PHI,Philadelphia Phillies,2021,28.2,"$190,513,223","$141,014,046","$19,936,225","$13,803,916","$5,759,036",82,80,No Playoffs,190513223.0,0.5061728395061729,0,0,95.0
LAA,Los Angeles Angels,2021,28.7,"$182,749,560","$33,967,088","$100,777,679","$46,663,119","$1,341,674",77,85,No Playoffs,182749560.0,0.47530864197530864,0,0,93.0
LAD,Los Angeles Dodgers,2021,28.9,"$265,343,390","$174,661,542","$37,823,684","$6,150,521","$15,374,310",106,56,Wildcard,265343390.0,0.654320987654321,1,0,101.0
NYM,New York Mets,2021,29.6,"$201,189,189","$176,565,754","$11,933,570","$9,524,946","$3,735,419",77,85,No Playoffs,201189189.0,0.47530864197530864,0,0,93.0
TB,Tampa Bay Rays,2020,27.9,"$28,290,689","$21,769,463","$1,958,020","$2,086,951","$2,476,255",40,20,Division Winner,28290689.0,0.6666666666666666,1,0,111.0
BAL,Baltimore Orioles,2020,27.0,"$23,478,635","$10,252,278","$11,102,531","$1,264,595","$562,935",25,35,No Playoffs,23478635.0,0.4166666666666667,0,0,102.0
OAK,Oakland Athletics,2020,29.3,"$36,720,178","$35,283,875","$902,038","$113,148","$421,117",36,24,Division Winner,36720178.0,0.6,1,0,100.0
MIA,Miami Marlins,2020,28.2,"$33,901,920","$17,388,599","$2,897,429","$12,335,262","$1,280,630",31,29,Wildcard,33901920.0,0.5166666666666667,1,0,89.0
CLE,Cleveland Guardians,2020,27.8,"$39,299,107","$34,471,070","$209,630","$3,269,241","$1,139,981",35,25,Wildcard,39299107.0,0.5833333333333334,1,0,88.0
PIT,Pittsburgh Pirates,2020,27.4,"$25,343,022","$12,738,842","$8,467,312","$2,437,508","$199,360",19,41,No Playoffs,25343022.0,0.31666666666666665,0,0,74.0
KC,Kansas City Royals,2020,26.9,"$34,934,696","$25,320,148","$7,094,043","$1,464,114","$1,056,391",26,34,No Playoffs,34934696.0,0.43333333333333335,0,0,91.0
MIL,Milwaukee Brewers,2020,27.9,"$41,434,086","$28,464,819","$1,203,704","$4,484,938","$1,354,699",29,31,No Playoffs,41434086.0,0.48333333333333334,0,0,87.0
CHW,Chicago White Sox,2020,27.3,"$53,665,251","$43,034,329","$1,819,815","$7,812,642","$789,761",35,25,Wildcard,53665251.0,0.5833333333333334,1,0,112.0
MIN,Minnesota Twins,2020,29.5,"$59,679,689","$49,057,558","$6,876,058","$7,313,300","$840,180",36,24,Division Winner,59679689.0,0.6,1,0,104.0
TOR,Toronto Blue Jays,2020,27.6,"$54,237,801","$33,467,052","$5,114,444","$14,667,030","$778,905",32,28,No Playoffs,54237801.0,0.5333333333333333,0,0,108.0
ATL,Atlanta Braves,2020,29.1,"$60,552,671","$50,458,292","$7,255,497","$1,000,284","$838,598",35,25,Division Winner,60552671.0,0.5833333333333334,1,0,117.0
CIN,Cincinnati Reds,2020,28.4,"$55,147,001","$51,854,326","$658,696","$1,922,138","$711,841",31,29,No Playoffs,55147001.0,0.5166666666666667,0,0,85.0
SEA,Seattle Mariners,2020,26.8,"$50,563,459","$25,865,136","$3,268,960","$30,708,712","$165,095",27,33,No Playoffs,50563459.0,0.45,0,0,90.0
DET,Detroit Tigers,2020,26.7,"$43,164,880","$29,636,694","$6,108,631","$6,488,226","$931,329",23,35,No Playoffs,43164880.0,0.39655172413793105,0,0,91.0
SD,San Diego Padres,2020,28.4,"$72,861,614","$54,293,958","$3,531,020","$14,471,215","$565,421",37,23,Wildcard,72861614.0,0.6166666666666667,1,0,120.0
STL,St. Louis Cardinals,2020,28.0,"$73,246,343","$51,757,860","$12,343,763","$12,000,000","$1,087,757",30,28,No Playoffs,73246343.0,0.5172413793103449,0,0,92.0
CHC,Chicago Cubs,2020,28.8,"$86,012,838","$66,116,504","$6,448,626","$12,464,463","$983,245",34,26,Division Winner,86012838.0,0.5666666666666667,1,0,90.0
