Team,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,Year
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,2020
,1289,28.0,4.65,1796,66506,59030,8344,14439,2823,241,2304,7978,885,292,6092,15586,.245,.322,.418,.740,100,24656,1237,821,126,402,202,11974,2020
Arizona Diamondbacks,64,28.9,4.19,162,6144,5489,679,1297,308,31,144,644,43,16,537,1465,.236,.309,.382,.692,87,2099,99,54,32,28,24,1152,2021
Atlanta Braves,56,28.2,4.91,161,6056,5363,790,1307,269,20,239,762,59,19,549,1453,.244,.319,.435,.754,98,2333,81,67,32,43,36,1072,2021
Baltimore Orioles,62,26.7,4.07,162,5983,5420,659,1296,266,15,195,632,54,23,451,1454,.239,.304,.402,.705,92,2177,105,65,14,31,12,1046,2021
Boston Red Sox,56,28.0,5.12,162,6122,5495,829,1434,330,23,219,783,40,21,512,1386,.261,.328,.449,.777,106,2467,100,61,10,42,22,1093,2021
Chicago Cubs,69,29.1,4.35,162,5972,5306,705,1255,225,26,210,672,86,37,502,1596,.237,.312,.407,.719,93,2162,133,92,40,30,17,1019,2021
Chicago White Sox,47,28.0,4.91,162,6084,5357,796,1373,275,22,190,757,57,20,586,1389,.256,.336,.422,.758,106,2262,139,78,24,39,10,1125,2021
Cincinnati Reds,55,28.9,4.85,162,6162,5423,786,1352,295,13,222,756,36,24,553,1425,.249,.328,.431,.759,95,2339,129,105,35,45,22,1110,2021
Cleveland Indians,48,26.7,4.43,162,5907,5332,717,1269,248,22,203,686,109,17,453,1387,.238,.303,.407,.710,94,2170,105,64,20,36,18,987,2021
Colorado Rockies,45,28.1,4.59,161,6007,5374,739,1338,275,34,182,709,76,23,491,1356,.249,.317,.414,.731,86,2227,98,58,48,36,24,1074,2021
Detroit Tigers,49,28.1,4.30,162,5979,5376,697,1299,236,37,179,675,88,25,490,1514,.242,.308,.399,.707,96,2146,113,44,17,50,8,1031,2021
Houston Astros,52,28.9,5.33,162,6291,5593,863,1496,299,14,221,834,53,16,569,1222,.267,.339,.444,.783,113,2486,136,64,9,54,25,1159,2021
Kansas City Royals,48,29.3,4.23,162,5993,5427,686,1349,251,29,163,647,124,33,421,1258,.249,.306,.396,.702,90,2147,100,55,31,52,8,1050,2021
Los Angeles Angels,64,29.2,4.46,162,6019,5437,723,1331,265,23,190,691,79,26,464,1394,.245,.310,.407,.717,93,2212,107,59,30,25,35,1029,2021
Los Angeles Dodgers,61,29.2,5.12,162,6239,5445,830,1330,247,24,237,799,65,17,613,1408,.244,.330,.429,.759,101,2336,96,104,32,45,36,1169,2021
Miami Marlins,61,28.2,3.85,162,5929,5348,623,1244,226,23,158,594,106,29,450,1553,.233,.298,.372,.671,81,1990,95,65,30,30,25,1042,2021
Milwaukee Brewers,61,28.7,4.56,162,6099,5362,738,1251,255,18,194,700,82,21,586,1465,.233,.317,.396,.713,92,2124,102,88,25,35,26,1113,2021
Minnesota Twins,57,28.3,4.50,162,6078,5431,729,1311,271,17,228,690,54,15,525,1405,.241,.314,.423,.738,103,2300,122,70,7,42,17,1092,2021
New York Mets,64,28.2,3.93,162,5856,5210,636,1243,228,18,176,604,54,26,495,1392,.239,.315,.391,.705,93,2035,123,94,34,23,25,1099,2021
New York Yankees,59,29.3,4.39,162,6060,5331,711,1266,213,12,222,666,63,18,621,1482,.237,.322,.407,.729,100,2169,154,63,10,34,14,1097,2021
Oakland Athletics,50,30.1,4.59,162,6104,5395,743,1284,271,19,199,698,88,20,545,1349,.238,.317,.406,.723,102,2190,99,98,17,49,17,1084,2021
Philadelphia Phillies,55,29.1,4.53,162,6089,5366,734,1288,262,24,198,700,77,19,564,1402,.240,.318,.408,.726,95,2192,103,67,47,43,37,1115,2021
Pittsburgh Pirates,64,27.5,3.76,162,5983,5336,609,1261,240,35,124,570,60,30,529,1328,.236,.309,.364,.673,82,1943,102,49,31,37,24,1128,2021
San Diego Padres,54,28.0,4.50,162,6119,5384,729,1305,273,21,180,695,110,39,586,1324,.242,.321,.401,.722,101,2160,121,61,36,46,42,1123,2021
Seattle Mariners,63,27.0,4.30,162,6010,5355,697,1209,233,11,199,673,64,24,535,1492,.226,.303,.385,.688,92,2061,92,72,9,36,8,1040,2021
San Francisco Giants,54,30.6,4.96,162,6196,5462,804,1360,271,25,241,768,66,14,602,1461,.249,.329,.440,.769,107,2404,117,64,36,30,45,1138,2021
St. Louis Cardinals,51,28.5,4.36,162,6001,5351,706,1303,261,22,198,678,89,22,478,1341,.244,.313,.412,.725,99,2202,99,86,40,44,32,1081,2021
Tampa Bay Rays,61,27.7,5.29,162,6213,5507,857,1336,288,36,222,810,88,42,585,1542,.243,.321,.429,.750,110,2362,75,72,6,41,27,1085,2021
Texas Rangers,54,26.8,3.86,162,5943,5405,625,1254,225,24,167,598,106,29,433,1381,.232,.294,.375,.670,83,2028,113,58,16,31,10,1007,2021
Toronto Blue Jays,62,26.8,5.22,162,6070,5476,846,1455,285,13,262,816,81,20,496,1218,.266,.330,.466,.797,113,2552,112,51,10,35,14,1056,2021
Washington Nationals,60,28.7,4.47,162,6113,5385,724,1388,272,20,182,686,56,26,573,1303,.258,.337,.417,.754,107,2246,158,84,38,31,43,1185,2021
League Average,50,28.4,4.53,162,6061,5398,734,1316,262,22,198,700,74,24,526,1405,.244,.317,.411,.728,97,2217,111,70,26,38,23,1087,2021
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,2021
,1508,28.4,4.53,4858,181821,161941,22010,39484,7863,671,5944,20993,2213,711,15794,42145,.244,.317,.411,.728,97,66521,3328,2112,766,1143,703,32601,2021
Arizona Diamondbacks,57,26.5,4.33,162,6027,5351,702,1232,262,24,173,658,104,29,531,1341,.230,.304,.385,.689,95,2061,97,60,31,50,14,1039,2022
Atlanta Braves,53,27.5,4.87,162,6082,5509,789,1394,298,11,243,753,87,31,470,1498,.253,.317,.443,.761,109,2443,103,66,1,36,13,1030,2022
Baltimore Orioles,58,27.0,4.16,162,6049,5429,674,1281,275,25,171,639,95,31,476,1390,.236,.305,.390,.695,99,2119,95,83,12,43,10,1095,2022
Boston Red Sox,54,28.8,4.54,162,6144,5539,735,1427,352,12,155,704,52,20,478,1373,.258,.321,.409,.731,102,2268,131,63,12,50,23,1133,2022
Chicago Cubs,64,27.9,4.06,162,6072,5425,657,1293,265,31,159,620,111,37,507,1448,.238,.311,.387,.698,94,2097,130,84,19,36,16,1100,2022
Chicago White Sox,44,29.3,4.23,162,6123,5611,686,1435,272,9,149,654,58,10,388,1269,.256,.310,.387,.698,97,2172,127,73,16,35,9,1117,2022
Cincinnati Reds,66,29.4,4.00,162,5978,5380,648,1264,235,18,156,618,58,33,452,1430,.235,.304,.372,.676,85,2003,127,92,12,33,6,1020,2022
Cleveland Guardians,50,25.9,4.31,162,6163,5558,698,1410,273,31,127,662,119,27,450,1122,.254,.316,.383,.699,102,2126,119,81,22,52,36,1156,2022
Colorado Rockies,43,29.1,4.31,162,6105,5540,698,1408,280,34,149,669,45,20,453,1330,.254,.315,.398,.713,91,2203,139,61,10,40,10,1113,2022
Detroit Tigers,53,27.9,3.44,162,5870,5378,557,1240,235,27,110,530,47,24,380,1413,.231,.286,.346,.632,82,1859,108,58,10,44,8,1015,2022
Houston Astros,45,29.3,4.55,162,6054,5409,737,1341,284,13,214,715,83,22,528,1179,.248,.319,.424,.743,111,2293,118,60,9,42,18,1068,2022
Kansas City Royals,55,27.1,3.95,162,6010,5437,640,1327,247,38,138,613,104,34,460,1287,.244,.306,.380,.686,93,2064,101,48,20,44,7,1091,2022
Los Angeles Angels,66,27.9,3.85,162,5977,5423,623,1265,219,31,190,600,77,27,449,1539,.233,.297,.390,.687,93,2116,95,54,25,25,28,1050,2022
Los Angeles Dodgers,51,29.6,5.23,162,6247,5526,847,1418,325,31,212,812,98,18,607,1374,.257,.333,.442,.775,115,2441,85,56,3,53,22,1159,2022
Miami Marlins,56,28.9,3.62,162,5949,5395,586,1241,248,20,144,554,122,29,436,1429,.230,.294,.363,.658,85,1961,120,70,4,36,6,1045,2022
Milwaukee Brewers,51,29.1,4.48,162,6122,5417,725,1271,251,17,219,703,96,30,577,1464,.235,.315,.409,.724,103,2213,117,80,11,37,25,1102,2022
Minnesota Twins,61,26.9,4.30,162,6113,5476,696,1356,269,18,178,668,38,17,518,1353,.248,.317,.401,.718,105,2195,133,62,10,46,11,1126,2022
New York Mets,61,29.7,4.77,162,6176,5489,772,1422,272,27,171,735,62,22,510,1217,.259,.332,.412,.744,113,2261,122,112,20,44,25,1158,2022
New York Yankees,54,30.2,4.98,162,6172,5422,807,1308,225,8,254,764,102,33,620,1391,.241,.325,.426,.751,112,2311,121,70,14,41,36,1093,2022
Oakland Athletics,64,28.3,3.51,162,5863,5314,568,1147,249,15,137,537,78,23,433,1389,.216,.281,.346,.626,84,1837,109,59,22,33,7,969,2022
Philadelphia Phillies,56,28.1,4.61,162,6077,5496,747,1392,255,29,205,719,105,28,478,1363,.253,.317,.422,.739,108,2320,116,52,6,44,15,1075,2022
Pittsburgh Pirates,68,26.3,3.65,162,5912,5331,591,1186,221,29,158,555,89,32,476,1497,.222,.291,.364,.655,85,1939,96,54,19,32,14,1016,2022
San Diego Padres,55,28.2,4.35,162,6175,5468,705,1317,275,18,153,682,49,22,574,1327,.241,.318,.382,.700,102,2087,95,65,17,46,24,1174,2022
Seattle Mariners,59,27.5,4.26,162,6117,5375,690,1236,229,19,197,663,83,27,596,1397,.230,.315,.390,.704,106,2094,120,89,9,45,17,1129,2022
San Francisco Giants,66,30.0,4.42,162,6117,5392,716,1261,255,18,183,683,64,16,571,1462,.234,.315,.390,.705,100,2101,109,95,6,53,14,1115,2022
St. Louis Cardinals,51,28.8,4.77,162,6165,5496,772,1386,290,21,197,739,95,25,537,1226,.252,.325,.420,.745,112,2309,112,80,5,45,11,1132,2022
Tampa Bay Rays,61,27.0,4.11,162,6008,5412,666,1294,296,17,139,634,95,37,500,1395,.239,.309,.377,.686,99,2041,93,57,7,31,13,1074,2022
Texas Rangers,55,28.0,4.36,162,6029,5478,707,1308,224,20,198,670,128,41,456,1446,.239,.301,.395,.696,96,2166,82,47,10,38,12,1007,2022
Toronto Blue Jays,51,27.1,4.78,162,6158,5555,775,1464,307,12,200,756,67,35,500,1242,.264,.329,.431,.760,117,2395,136,55,8,33,13,1111,2022
Washington Nationals,55,28.7,3.72,162,5998,5434,603,1351,252,20,136,579,75,31,442,1221,.249,.310,.377,.688,98,2051,141,60,20,37,12,1099,2022
League Average,50,28.2,4.28,162,6068,5449,694,1322,265,21,174,663,83,27,495,1360,.243,.312,.395,.706,100,2152,113,68,13,41,16,1087,2022
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,2022
,1495,28.2,4.28,4860,182052,163465,20817,39675,7940,643,5215,19888,2486,811,14853,40812,.243,.312,.395,.706,100,64546,3397,2046,390,1224,475,32611,2022
Arizona Diamondbacks,54,27.4,4.60,162,6124,5436,746,1359,274,44,166,706,166,26,540,1247,.250,.322,.408,.730,98,2219,121,58,36,50,11,1091,2023
Atlanta Braves,53,27.9,5.85,162,6249,5597,947,1543,293,23,307,916,132,27,538,1289,.276,.344,.501,.845,126,2803,128,67,2,43,20,1062,2023
Baltimore Orioles,50,27.2,4.98,162,6123,5495,807,1399,309,28,183,780,114,24,512,1370,.255,.321,.421,.742,107,2313,114,45,21,47,14,1041,2023
Boston Red Sox,56,28.6,4.77,162,6174,5562,772,1437,339,19,182,734,112,26,486,1372,.258,.324,.424,.748,100,2360,118,71,11,35,15,1117,2023
Chicago Cubs,48,28.4,5.06,162,6220,5504,819,1399,269,30,196,786,140,34,570,1391,.254,.330,.421,.751,106,2316,95,77,15,52,11,1127,2023
Chicago White Sox,56,27.8,3.96,162,5980,5501,641,1308,264,13,171,617,86,22,377,1424,.238,.291,.384,.675,84,2111,122,52,16,29,19,1009,2023
Cincinnati Reds,65,26.8,4.83,162,6195,5499,783,1371,268,37,198,747,190,48,556,1500,.249,.327,.420,.746,98,2307,101,92,19,29,8,1107,2023
Cleveland Guardians,50,26.6,4.09,162,6096,5513,662,1379,294,29,124,622,151,36,471,1142,.250,.313,.381,.695,91,2103,108,55,13,44,40,1121,2023
Colorado Rockies,57,28.1,4.45,162,6055,5496,721,1368,305,31,163,685,76,25,447,1543,.249,.310,.405,.715,85,2224,124,59,11,41,8,1038,2023
Detroit Tigers,51,27.4,4.08,162,6080,5478,661,1292,245,29,165,635,85,23,508,1473,.236,.305,.382,.686,89,2090,107,49,13,31,10,1103,2023
Houston Astros,41,28.8,5.10,162,6253,5567,827,1441,280,22,222,799,107,32,550,1241,.259,.331,.437,.768,111,2431,124,72,14,40,17,1134,2023
Kansas City Royals,58,26.3,4.17,162,5985,5428,676,1325,258,43,163,651,163,47,411,1396,.244,.303,.398,.700,90,2158,96,71,14,58,12,1009,2023
Los Angeles Angels,66,28.6,4.56,162,6145,5489,739,1346,248,26,231,708,72,31,518,1524,.245,.317,.426,.743,101,2339,117,79,8,46,27,1102,2023
Los Angeles Dodgers,58,30.9,5.59,162,6333,5524,906,1422,303,20,249,877,105,25,644,1359,.257,.340,.455,.795,114,2512,98,85,5,69,29,1163,2023
Miami Marlins,52,29.4,4.11,162,6043,5497,666,1423,258,23,166,633,86,21,430,1287,.259,.316,.405,.721,90,2225,159,50,22,38,23,1097,2023
Milwaukee Brewers,58,27.7,4.49,162,6084,5386,728,1290,257,16,165,696,129,28,591,1412,.240,.319,.385,.704,92,2074,144,58,7,39,15,1075,2023
Minnesota Twins,48,28.6,4.80,162,6219,5489,778,1336,264,24,233,745,86,18,594,1654,.243,.326,.428,.753,105,2347,119,92,12,32,13,1138,2023
New York Mets,59,28.9,4.43,162,6056,5363,717,1276,221,21,215,692,118,15,525,1331,.238,.316,.407,.723,99,2184,105,107,19,38,11,1082,2023
New York Yankees,54,28.5,4.15,162,5973,5323,673,1207,221,15,219,650,100,30,557,1427,.227,.304,.397,.701,91,2115,119,47,9,36,18,1007,2023
Oakland Athletics,62,27.1,3.61,162,5966,5311,585,1187,225,21,171,563,149,31,498,1496,.223,.298,.370,.669,88,1967,125,85,28,36,12,1043,2023
Philadelphia Phillies,44,28.4,4.91,162,6207,5541,796,1417,291,29,220,771,141,26,539,1481,.256,.327,.438,.765,107,2426,110,69,13,42,22,1123,2023
Pittsburgh Pirates,58,27.3,4.27,162,6089,5406,692,1293,287,31,159,662,117,41,556,1464,.239,.315,.392,.707,91,2119,92,58,25,43,9,1111,2023
San Diego Padres,56,28.4,4.64,162,6180,5401,752,1316,273,14,205,719,137,32,653,1311,.244,.329,.413,.742,104,2232,134,57,22,44,16,1144,2023
Seattle Mariners,56,27.8,4.68,162,6201,5500,758,1332,283,12,210,728,118,30,548,1603,.242,.321,.413,.734,108,2269,95,111,4,37,14,1144,2023
San Francisco Giants,52,28.4,4.16,162,6095,5412,674,1271,256,13,174,651,57,16,544,1492,.235,.312,.383,.695,93,2075,116,81,17,39,19,1130,2023
St. Louis Cardinals,52,27.5,4.44,162,6204,5510,719,1376,264,12,209,697,101,29,570,1326,.250,.326,.416,.742,101,2291,122,70,13,37,17,1183,2023
Tampa Bay Rays,58,26.8,5.31,162,6164,5511,860,1432,282,24,230,827,160,41,514,1420,.260,.331,.445,.776,114,2452,109,95,6,38,7,1047,2023
Texas Rangers,48,28.3,5.44,162,6306,5595,881,1470,326,18,233,845,79,19,599,1416,.263,.337,.452,.790,116,2531,103,53,10,47,17,1164,2023
Toronto Blue Jays,46,28.8,4.60,162,6220,5562,746,1423,292,19,188,705,99,34,550,1303,.256,.329,.417,.745,105,2317,129,69,4,32,14,1170,2023
Washington Nationals,48,26.8,4.32,162,6085,5522,700,1401,279,26,151,665,127,29,423,1149,.254,.314,.396,.709,96,2185,112,78,20,38,6,1082,2023
League Average,49,28.0,4.62,162,6137,5481,748,1361,274,24,196,717,117,29,527,1395,.248,.320,.414,.734,100,2270,116,70,14,41,16,1099,2023
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,2023
,1457,28.0,4.62,4860,184104,164418,22432,40839,8228,712,5868,21512,3503,866,15819,41843,.248,.320,.414,.734,100,68095,3466,2112,429,1230,474,32964,2023
Arizona Diamondbacks,51,28.6,5.47,162,6284,5522,886,1452,271,37,211,845,119,30,569,1265,.263,.337,.440,.777,114,2430,112,84,34,66,17,1111,2024
Atlanta Braves,55,29.3,4.35,162,6075,5481,704,1333,273,15,213,674,69,20,485,1461,.243,.309,.415,.724,100,2275,119,58,9,39,11,1088,2024
Baltimore Orioles,60,26.9,4.85,162,6176,5567,786,1391,262,33,235,759,98,25,489,1359,.250,.315,.435,.751,115,2424,71,64,6,45,14,1108,2024
Boston Red Sox,57,27.3,4.64,162,6192,5577,751,1404,311,30,194,724,144,44,493,1570,.252,.319,.423,.741,108,2357,110,73,7,40,30,1116,2024
Chicago Cubs,56,27.8,4.54,162,6116,5441,736,1318,253,29,170,696,143,30,546,1362,.242,.317,.393,.710,100,2139,89,70,17,41,19,1105,2024
Chicago White Sox,63,27.8,3.13,162,5869,5383,507,1187,226,9,133,485,90,33,395,1403,.221,.278,.340,.618,76,1830,116,43,18,27,8,1014,2024
Cincinnati Reds,61,27.1,4.31,162,5970,5325,699,1230,257,29,174,663,207,45,496,1459,.231,.305,.388,.693,88,2067,86,87,18,43,7,989,2024
Cleveland Guardians,50,26.1,4.40,161,5927,5310,708,1263,245,18,185,670,148,46,466,1196,.238,.307,.395,.703,99,2099,111,87,17,43,30,978,2024
Colorado Rockies,54,27.9,4.21,162,6026,5454,682,1319,277,25,179,655,85,31,453,1617,.242,.304,.400,.704,87,2183,126,51,19,45,20,1028,2024
Detroit Tigers,48,26.7,4.21,162,6021,5442,682,1273,244,47,162,656,76,24,476,1461,.234,.300,.385,.685,92,2097,90,52,4,41,12,1045,2024
Houston Astros,55,28.8,4.60,161,6107,5530,740,1448,264,16,190,701,93,24,448,1176,.262,.322,.418,.741,110,2314,132,67,12,46,28,1113,2024
Kansas City Royals,50,28.0,4.54,162,5982,5421,735,1343,264,35,170,711,134,31,429,1161,.248,.306,.403,.710,101,2187,95,52,23,54,22,990,2024
Los Angeles Angels,64,27.3,3.92,162,5975,5357,635,1227,227,15,165,596,133,50,482,1416,.229,.301,.369,.671,89,1979,116,86,12,35,4,1015,2024
Los Angeles Dodgers,60,30.3,5.20,162,6255,5522,842,1423,291,26,233,815,136,23,602,1336,.258,.335,.446,.781,120,2465,99,64,10,51,33,1143,2024
Miami Marlins,70,27.2,3.93,162,6048,5522,637,1347,243,23,150,611,125,43,403,1410,.244,.300,.378,.678,87,2086,119,55,24,41,16,1059,2024
Milwaukee Brewers,56,26.3,4.80,162,6170,5472,777,1359,249,33,177,742,217,42,597,1459,.248,.326,.403,.729,102,2205,97,46,15,34,19,1113,2024
Minnesota Twins,52,28.7,4.58,162,6123,5490,742,1352,309,23,183,702,65,23,473,1306,.246,.315,.411,.726,103,2256,115,101,10,47,15,1087,2024
New York Mets,59,30.0,4.74,162,6166,5510,768,1357,279,15,207,735,106,22,514,1382,.246,.319,.415,.734,108,2287,105,92,10,36,11,1110,2024
New York Yankees,54,28.0,5.03,162,6245,5450,815,1352,243,15,237,782,88,26,672,1326,.248,.333,.429,.761,115,2336,138,49,14,57,26,1141,2024
Oakland Athletics,55,26.5,3.97,162,6034,5432,643,1267,240,19,196,619,98,26,493,1502,.233,.301,.393,.694,101,2133,105,53,19,37,11,1073,2024
Philadelphia Phillies,47,29.1,4.84,162,6166,5534,784,1423,285,24,198,750,148,30,515,1370,.257,.325,.425,.750,106,2350,107,62,13,40,21,1115,2024
Pittsburgh Pirates,56,28.5,4.10,162,6086,5477,665,1283,236,17,160,643,106,19,485,1506,.234,.301,.371,.672,87,2033,100,60,16,47,14,1112,2024
San Diego Padres,49,29.0,4.69,162,6103,5526,760,1456,259,18,190,726,120,28,458,1077,.263,.324,.420,.745,107,2321,133,56,28,31,18,1068,2024
Seattle Mariners,50,28.9,4.17,162,6067,5330,676,1195,228,13,185,642,140,28,571,1625,.224,.311,.376,.687,102,2004,106,116,14,34,14,1117,2024
San Francisco Giants,58,28.6,4.28,162,6062,5460,693,1303,266,30,177,661,68,22,492,1452,.239,.305,.396,.701,100,2160,115,52,10,47,15,1075,2024
St. Louis Cardinals,44,27.6,4.15,162,6114,5507,672,1363,257,21,165,639,91,29,478,1318,.248,.312,.392,.703,97,2157,91,56,17,47,10,1149,2024
Tampa Bay Rays,54,27.2,3.73,162,6006,5389,604,1241,245,23,147,564,178,53,493,1485,.230,.302,.366,.669,92,1973,87,78,10,32,15,1099,2024
Texas Rangers,57,28.1,4.22,162,6053,5472,683,1302,220,15,176,652,97,25,490,1284,.238,.305,.380,.686,100,2080,96,55,6,30,20,1084,2024
Toronto Blue Jays,56,28.0,4.14,162,6060,5410,671,1306,280,26,156,640,72,16,510,1233,.241,.313,.389,.703,98,2106,126,78,14,45,18,1106,2024
Washington Nationals,50,26.3,4.07,162,5971,5374,660,1306,267,18,135,621,223,73,456,1220,.243,.309,.375,.684,93,2014,115,73,26,40,11,1010,2024
League Average,48,27.9,4.39,162,6082,5456,711,1327,259,23,182,679,121,32,498,1373,.243,.312,.399,.711,100,2178,108,67,15,42,17,1079,2024
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,2024
,1454,27.9,4.39,4858,182449,163687,21343,39823,7771,697,5453,20379,3617,961,14929,41197,.243,.312,.399,.711,100,65347,3227,2020,452,1261,509,32361,2024
Arizona Diamondbacks,65,27.8,4.88,162,6210,5480,791,1377,277,38,214,768,121,39,545,1316,.251,.325,.433,.757,108,2372,109,81,37,64,21,1112,2025
Athletics,58,26.1,4.52,162,6151,5547,733,1403,296,16,219,709,80,28,502,1406,.253,.318,.431,.749,106,2388,117,44,18,35,14,1106,2025
Atlanta Braves,71,28.3,4.47,162,6186,5508,724,1349,243,19,190,701,82,25,575,1371,.245,.320,.399,.720,102,2200,98,51,15,36,14,1160,2025
Baltimore Orioles,70,26.5,4.18,162,6020,5416,677,1273,251,19,191,643,121,37,484,1457,.235,.305,.394,.699,96,2135,102,75,4,41,14,1044,2025
Boston Red Sox,56,27.6,4.85,162,6206,5562,786,1414,324,24,186,748,139,38,518,1419,.254,.324,.421,.745,106,2344,99,72,13,41,24,1125,2025
Chicago Cubs,52,28.4,4.90,162,6162,5495,793,1371,267,29,223,771,161,35,554,1277,.249,.320,.430,.751,116,2365,72,46,10,55,16,1108,2025
Chicago White Sox,62,26.8,3.99,162,5987,5377,647,1250,243,10,165,626,85,21,498,1364,.232,.302,.373,.675,88,2008,108,49,22,36,8,1055,2025
Cincinnati Reds,53,27.2,4.42,162,6082,5448,716,1333,250,23,167,677,105,30,527,1415,.245,.315,.391,.706,90,2130,106,51,12,44,15,1088,2025
Cleveland Guardians,46,27.4,3.97,162,5943,5310,643,1199,243,18,168,621,129,34,494,1344,.226,.296,.373,.670,85,1982,78,60,28,50,30,1016,2025
Colorado Rockies,57,26.7,3.69,162,5908,5408,597,1281,253,37,160,581,87,39,395,1531,.237,.293,.386,.679,80,2088,118,48,21,35,5,986,2025
Detroit Tigers,58,26.8,4.68,162,6093,5456,758,1346,244,36,198,724,61,16,511,1454,.247,.316,.413,.730,101,2256,90,65,5,50,12,1062,2025
Houston Astros,60,28.8,4.23,162,6087,5490,686,1372,247,12,182,655,85,28,471,1301,.250,.315,.399,.714,97,2189,124,71,16,38,15,1116,2025
Kansas City Royals,49,28.3,4.02,162,6008,5431,651,1342,292,22,159,638,111,42,435,1096,.247,.309,.397,.706,96,2155,96,69,29,41,19,1073,2025
Los Angeles Angels,65,27.9,4.15,162,6000,5374,673,1209,212,17,226,649,88,27,484,1627,.225,.298,.397,.695,91,2133,99,87,13,35,22,1020,2025
Los Angeles Dodgers,62,30.7,5.09,162,6187,5481,825,1384,257,21,244,791,88,25,580,1353,.253,.327,.441,.768,114,2415,108,56,13,54,33,1093,2025
Miami Marlins,56,25.7,4.38,162,6142,5543,709,1388,272,29,154,677,138,44,482,1247,.250,.314,.393,.708,95,2180,94,54,19,44,13,1117,2025
Milwaukee Brewers,55,26.9,4.98,162,6227,5510,806,1423,265,18,166,750,164,53,564,1266,.258,.332,.403,.736,105,2222,97,73,26,50,15,1158,2025
Minnesota Twins,57,28.1,4.19,162,6059,5432,678,1295,249,20,191,643,114,34,495,1372,.238,.310,.397,.708,94,2157,105,88,9,34,10,1089,2025
New York Mets,63,28.9,4.73,162,6178,5457,766,1359,262,19,224,746,147,18,563,1325,.249,.326,.427,.753,113,2331,119,87,15,53,28,1142,2025
New York Yankees,52,28.6,5.24,162,6235,5471,849,1371,255,20,274,820,134,38,639,1463,.251,.332,.455,.787,118,2488,104,55,7,54,47,1127,2025
Philadelphia Phillies,47,30.3,4.80,162,6166,5517,778,1426,268,24,212,753,124,30,528,1337,.258,.328,.431,.759,106,2378,95,60,16,42,19,1133,2025
Pittsburgh Pirates,57,29.1,3.60,162,6008,5375,583,1244,245,21,117,561,115,36,530,1422,.231,.305,.350,.655,82,1882,123,54,13,32,19,1127,2025
San Diego Padres,52,29.9,4.33,162,6087,5424,702,1369,254,18,152,663,106,30,510,1161,.252,.321,.390,.711,96,2115,103,58,48,45,18,1127,2025
Seattle Mariners,54,28.7,4.73,162,6200,5502,766,1345,234,9,238,734,161,37,544,1446,.244,.320,.420,.740,113,2311,102,89,24,38,29,1120,2025
San Francisco Giants,53,28.1,4.35,162,6072,5375,705,1261,239,28,173,672,68,24,556,1380,.235,.311,.386,.697,99,2075,103,66,22,52,14,1076,2025
St. Louis Cardinals,44,26.6,4.25,162,6069,5433,689,1331,264,9,148,653,89,27,478,1321,.245,.314,.379,.693,96,2057,115,88,25,40,17,1092,2025
Tampa Bay Rays,56,27.3,4.41,162,6045,5470,714,1374,242,16,182,680,194,48,468,1397,.251,.313,.401,.714,99,2194,109,46,16,43,10,1042,2025
Texas Rangers,54,29.0,4.22,162,6046,5443,684,1275,245,15,175,658,134,33,486,1327,.234,.302,.381,.684,100,2075,92,63,11,40,19,1066,2025
Toronto Blue Jays,58,28.1,4.93,162,6180,5507,798,1461,294,13,191,771,77,25,520,1099,.265,.333,.427,.761,108,2354,133,65,35,45,25,1121,2025
Washington Nationals,51,25.8,4.24,162,5982,5422,687,1313,258,28,161,657,132,48,443,1351,.242,.304,.389,.693,96,2110,103,57,18,40,11,988,2025
League Average,49,27.9,4.45,162,6098,5455,720,1338,258,21,188,691,115,33,513,1355,.245,.315,.404,.719,100,2203,104,64,19,44,19,1090,2025
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,2025
,1471,27.9,4.45,4860,182926,163664,21614,40138,7745,628,5650,20740,3440,989,15379,40645,.245,.315,.404,.719,100,66089,3121,1928,560,1307,556,32689,2025
